order_id,customer_id,product_id,customer_name,segment,category,sub_category,amount,profit,quantity,order_date,ship_date,ship_mode,payment_mode,country,city,state
US-2019-150630,TB-21520,FUR-BO-10004834,Sudhir,Consumer,Electronics,Printers,1506,-266,6,9/17/2019,9/21/2019,Second Class,Credit Card,United States,West Jordan,Utah
US-2019-150630,TB-21520,OFF-BI-10000474,Sauptik,Consumer,Furniture,Tables,1829,-56,6,9/17/2019,9/21/2019,Second Class,Credit Card,United States,San Francisco,California
US-2019-150630,TB-21520,FUR-FU-10004848,Lisha,Consumer,Clothing,Skirt,9,-1,3,9/17/2019,9/21/2019,Second Class,UPI,United States,San Francisco,California
US-2019-150630,TB-21520,OFF-EN-10001509,Bhawna,Consumer,Furniture,Tables,1461,202,5,9/17/2019,9/21/2019,Standard Class,EMI,United States,San Francisco,California
US-2019-150630,TB-21520,OFF-AR-10004042,Sujay,Consumer,Clothing,Stole,391,113,8,9/17/2019,9/21/2019,Standard Class,COD,United States,Fremont,Nebraska
US-2019-150630,TB-21520,OFF-BI-10001525,Jay,Consumer,Electronics,Phones,1824,1303,8,9/17/2019,9/21/2019,Second Class,Credit Card,United States,Fremont,Nebraska
US-2019-150630,TB-21520,OFF-AR-10001683,Shruti,Consumer,Clothing,Hankerchief,16,-15,4,9/17/2019,9/21/2019,Standard Class,UPI,United States,Philadelphia,Pennsylvania
CA-2021-107727,MA-17560,OFF-PA-10000249,Mohan,Home Office,Furniture,Tables,1745,122,2,10/19/2021,10/23/2021,Second Class,Credit Card,United States,Orem,Utah
CA-2020-117590,GH-14485,TEC-PH-10004977,Neha,Corporate,Electronics,Printers,663,-212,5,12/8/2020,12/10/2020,Second Class,UPI,United States,Los Angeles,California
CA-2020-117590,GH-14485,FUR-FU-10003664,Shreyoshe,Corporate,Clothing,Leggings,10,-1,1,12/8/2020,12/10/2020,Standard Class,UPI,United States,Los Angeles,California
CA-2019-117415,SN-20710,OFF-EN-10002986,Hemant,Home Office,Furniture,Tables,1630,802,5,12/27/2019,12/31/2019,Standard Class,EMI,United States,Philadelphia,Pennsylvania
CA-2019-117415,SN-20710,FUR-BO-10002545,Madhulika,Home Office,Clothing,Hankerchief,12,0,2,12/27/2019,12/31/2019,Standard Class,UPI,United States,Philadelphia,Pennsylvania
CA-2019-117415,SN-20710,FUR-CH-10004218,Shardul,Home Office,Clothing,Leggings,12,-7,2,12/27/2019,12/31/2019,Standard Class,UPI,United States,Philadelphia,Pennsylvania
CA-2019-117415,SN-20710,TEC-PH-10000486,Sheetal,Home Office,Clothing,Trousers,1709,564,3,12/27/2019,12/31/2019,Standard Class,Credit Card,United States,Philadelphia,Pennsylvania
CA-2021-120999,LC-16930,TEC-PH-10004093,Pournamasi,Corporate,Clothing,Stole,12,3,1,9/10/2021,9/15/2021,Standard Class,UPI,United States,Philadelphia,Pennsylvania
CA-2020-101343,RA-19885,OFF-ST-10003479,Surabhi,Corporate,Electronics,Phones,1625,-77,3,7/17/2020,7/22/2020,Standard Class,EMI,United States,Philadelphia,Pennsylvania
CA-2021-139619,ES-14080,OFF-ST-10003282,Manshul,Corporate,Clothing,Hankerchief,13,5,2,9/19/2021,9/23/2021,Second Class,UPI,United States,Philadelphia,Pennsylvania
CA-2020-118255,ON-18715,TEC-AC-10000171,Shrichand,Corporate,Furniture,Tables,1361,980,3,3/11/2020,3/13/2020,First Class,COD,United States,Houston,Texas
CA-2020-118255,ON-18715,OFF-BI-10003291,Parth,Corporate,Electronics,Phones,1622,-448,3,3/11/2020,3/13/2020,First Class,EMI,United States,Richardson,Texas
CA-2018-146703,PO-18865,OFF-ST-10001713,Siddharth,Consumer,Electronics,Accessories,1547,340,6,10/20/2018,10/25/2018,Standard Class,EMI,United States,Richardson,Texas
CA-2020-169194,LH-16900,TEC-AC-10002167,Priyanka,Consumer,Furniture,Chairs,1657,460,4,6/20/2020,6/25/2020,Standard Class,Credit Card,United States,Houston,Texas
CA-2020-169194,LH-16900,TEC-PH-10003988,Aarushi,Consumer,Clothing,Saree,1603,0,9,6/20/2020,6/25/2020,Standard Class,Credit Card,United States,Houston,Texas
CA-2019-115742,DP-13000,OFF-BI-10004410,Vaibhav,Consumer,Electronics,Phones,1549,-439,4,4/18/2019,4/22/2019,Standard Class,Credit Card,United States,Houston,Texas
CA-2019-115742,DP-13000,OFF-LA-10002762,Savi,Consumer,Electronics,Printers,1183,106,4,4/18/2019,4/22/2019,Standard Class,EMI,United States,Houston,Texas
CA-2019-115742,DP-13000,FUR-FU-10001706,Jahan,Consumer,Clothing,Skirt,74,-123,8,4/18/2019,4/22/2019,Standard Class,UPI,United States,Naperville,Illinois
CA-2019-115742,DP-13000,FUR-CH-10003061,Parishi,Consumer,Clothing,Saree,1499,239,13,4/18/2019,4/22/2019,Standard Class,Credit Card,United States,Los Angeles,California
CA-2020-105816,JM-15265,OFF-FA-10000304,Farah,Corporate,Clothing,Saree,1120,199,6,12/11/2020,12/17/2020,First Class,EMI,United States,Melbourne,Florida
CA-2020-105816,JM-15265,TEC-PH-10002447,Abhijeet,Corporate,Clothing,T-shirt,15,-2,1,12/11/2020,12/17/2020,First Class,Debit Card,United States,Eagan,Minnesota
CA-2020-111682,TB-21055,OFF-ST-10000604,Anudeep,Consumer,Clothing,Trousers,1487,624,3,6/17/2020,6/18/2020,Second Class,Credit Card,United States,Eagan,Minnesota
CA-2020-111682,TB-21055,OFF-PA-10001569,Yohann,Consumer,Furniture,Tables,1118,206,2,6/17/2020,6/18/2020,Standard Class,Credit Card,United States,Westland,Michigan
CA-2020-111682,TB-21055,FUR-CH-10003968,Girase,Consumer,Clothing,Hankerchief,11,-5,2,6/17/2020,6/18/2020,Standard Class,COD,United States,Dover,Delaware
CA-2020-111682,TB-21055,OFF-PA-10000587,Arpita,Consumer,Clothing,Hankerchief,15,4,1,6/17/2020,6/18/2020,Standard Class,Debit Card,United States,Dover,Delaware
CA-2020-111682,TB-21055,TEC-AC-10002167,Vijay,Consumer,Furniture,Tables,1364,1864,5,6/17/2020,6/18/2020,Standard Class,Credit Card,United States,New Albany,Indiana
CA-2020-111682,TB-21055,OFF-BI-10001460,Arti,Consumer,Electronics,Printers,1337,147,7,6/17/2020,6/18/2020,Standard Class,Credit Card,United States,New Albany,Indiana
CA-2020-111682,TB-21055,OFF-AR-10001868,Bharat,Consumer,Clothing,Leggings,15,2,1,6/17/2020,6/18/2020,Standard Class,Debit Card,United States,New Albany,Indiana
CA-2019-135545,KM-16720,TEC-AC-10004633,Divyeta,Consumer,Electronics,Printers,322,-193,5,11/24/2019,11/30/2019,Standard Class,UPI,United States,New Albany,Indiana
CA-2019-135545,KM-16720,OFF-BI-10001078,Manju,Consumer,Electronics,Electronic Games,1316,527,7,11/24/2019,11/30/2019,Standard Class,Credit Card,United States,New York City,New York
CA-2019-135545,KM-16720,OFF-PA-10003892,Oshin,Consumer,Furniture,Bookcases,1314,342,3,11/24/2019,11/30/2019,First Class,Credit Card,United States,New York City,New York
CA-2019-135545,KM-16720,FUR-FU-10000397,Chandni,Consumer,Clothing,Hankerchief,17,7,3,11/24/2019,11/30/2019,First Class,Debit Card,United States,Troy,New York
US-2019-164175,PS-18970,FUR-CH-10001146,Pranjali,Home Office,Clothing,Skirt,17,2,2,4/30/2019,5/5/2019,First Class,Debit Card,United States,Troy,New York
CA-2018-106376,BS-11590,OFF-AR-10002671,Monu,Corporate,Clothing,Skirt,17,-12,5,12/5/2018,12/10/2018,First Class,Debit Card,United States,Troy,New York
CA-2018-106376,BS-11590,TEC-PH-10002726,Shruti,Corporate,Furniture,Bookcases,1308,536,3,12/5/2018,12/10/2018,First Class,Credit Card,United States,Troy,New York
CA-2020-119823,KD-16270,OFF-PA-10000482,Krutika,Consumer,Electronics,Printers,1076,-38,4,6/4/2020,6/6/2020,First Class,Credit Card,United States,Troy,New York
CA-2020-106075,HM-14980,OFF-BI-10004654,Sanjana,Consumer,Electronics,Accessories,1301,573,5,9/18/2020,9/23/2020,First Class,Credit Card,United States,Troy,New York
CA-2021-114440,TB-21520,OFF-PA-10004675,Mahima,Consumer,Electronics,Printers,1300,-16,8,9/14/2021,9/17/2021,Standard Class,Credit Card,United States,Troy,New York
US-2019-134026,JE-15745,FUR-CH-10000513,Rishabh,Consumer,Clothing,Hankerchief,11,-2,4,4/26/2019,5/2/2019,Standard Class,COD,United States,Los Angeles,California
US-2019-134026,JE-15745,FUR-FU-10003708,Dashyam,Consumer,Electronics,Printers,1298,65,9,4/26/2019,5/2/2019,Standard Class,EMI,United States,Los Angeles,California
US-2019-134026,JE-15745,OFF-ST-10004123,Tulika,Consumer,Clothing,Stole,304,97,6,4/26/2019,5/2/2019,Standard Class,UPI,United States,Los Angeles,California
US-2021-118038,KB-16600,OFF-BI-10004182,Nripraj,Corporate,Electronics,Printers,1055,264,4,12/9/2021,12/11/2021,Standard Class,EMI,United States,Los Angeles,California
US-2021-118038,KB-16600,FUR-FU-10000260,Vikash,Corporate,Clothing,Skirt,17,-13,4,12/9/2021,12/11/2021,Standard Class,Debit Card,United States,Chicago,Illinois
US-2021-118038,KB-16600,OFF-ST-10000615,Mukesh,Corporate,Clothing,Stole,147,73,3,12/9/2021,12/11/2021,Standard Class,COD,United States,Gilbert,Arizona
US-2018-147606,JE-15745,FUR-FU-10003194,Bhishm,Consumer,Electronics,Printers,965,-68,3,11/26/2018,12/1/2018,First Class,COD,United States,Gilbert,Arizona
CA-2020-127208,SC-20770,OFF-AP-10002118,Ankit,Corporate,Clothing,Hankerchief,12,-2,3,6/12/2020,6/15/2020,Standard Class,COD,United States,Springfield,Virginia
CA-2020-127208,SC-20770,OFF-BI-10002309,Yogesh,Corporate,Clothing,Hankerchief,14,-2,3,6/12/2020,6/15/2020,Second Class,UPI,United States,New York City,New York
CA-2018-139451,DN-13690,OFF-AR-10002053,Aditi,Consumer,Electronics,Electronic Games,934,-916,7,10/12/2018,10/16/2018,Standard Class,COD,United States,Jackson,Michigan
CA-2018-139451,DN-13690,OFF-ST-10002370,Ayush,Consumer,Clothing,Saree,929,-93,9,10/12/2018,10/16/2018,Standard Class,COD,United States,Memphis,Tennessee
CA-2019-149734,JC-16105,OFF-EN-10000927,Parin,Corporate,Clothing,Hankerchief,18,3,2,9/3/2019,9/8/2019,Standard Class,Debit Card,United States,Memphis,Tennessee
US-2021-119662,CS-12400,OFF-ST-10003656,Kirti,Home Office,Electronics,Phones,916,192,11,11/13/2021,11/16/2021,First Class,COD,United States,Memphis,Tennessee
CA-2021-140088,PO-18865,FUR-CH-10000863,Ameesha,Consumer,Clothing,Hankerchief,76,-72,9,5/28/2021,5/30/2021,First Class,COD,United States,Houston,Texas
CA-2021-155558,PG-18895,TEC-AC-10001998,Ayush,Consumer,Furniture,Tables,869,67,4,10/26/2021,11/2/2021,First Class,COD,United States,Houston,Texas
CA-2021-155558,PG-18895,OFF-LA-10000134,Anjali,Consumer,Clothing,Kurti,112,24,3,10/26/2021,11/2/2021,Second Class,COD,United States,Houston,Texas
CA-2020-159695,GM-14455,OFF-ST-10003442,Tulika,Home Office,Clothing,Skirt,39,16,6,4/5/2020,4/10/2020,First Class,UPI,United States,Houston,Texas
CA-2020-109806,JS-15685,OFF-AR-10004930,Shivam,Corporate,Furniture,Tables,857,-274,2,9/17/2020,9/22/2020,First Class,COD,United States,Decatur,Alabama
CA-2020-109806,JS-15685,TEC-PH-10004093,Anurag,Corporate,Furniture,Chairs,828,230,2,9/17/2020,9/22/2020,Standard Class,COD,United States,Decatur,Alabama
CA-2020-109806,JS-15685,OFF-PA-10000304,Sanjana,Corporate,Electronics,Printers,1279,-640,8,9/17/2020,9/22/2020,Standard Class,EMI,United States,San Francisco,California
CA-2019-149587,KB-16315,OFF-PA-10003177,Shaily,Consumer,Clothing,Saree,1250,486,7,1/31/2019,2/5/2019,Standard Class,EMI,United States,San Francisco,California
CA-2019-149587,KB-16315,FUR-FU-10003799,Priyanka,Consumer,Furniture,Chairs,823,-18,7,1/31/2019,2/5/2019,First Class,COD,United States,Durham,North Carolina
CA-2019-149587,KB-16315,OFF-BI-10002852,Tanvi,Consumer,Furniture,Bookcases,1157,-13,9,1/31/2019,2/5/2019,Second Class,Credit Card,United States,Chicago,Illinois
US-2021-109484,RB-19705,OFF-BI-10004738,Shreya,Home Office,Electronics,Accessories,126,-63,3,11/6/2021,11/12/2021,Standard Class,UPI,United States,Columbia,South Carolina
CA-2021-161018,PN-18775,FUR-FU-10000629,Chirag,Home Office,Electronics,Phones,1145,-706,3,11/9/2021,11/11/2021,Standard Class,Credit Card,United States,Rochester,Minnesota
CA-2021-157833,KD-16345,OFF-BI-10001721,Shweta,Consumer,Electronics,Accessories,774,170,3,6/17/2021,6/20/2021,Second Class,COD,United States,Rochester,Minnesota
CA-2020-149223,ER-13855,OFF-AP-10000358,Abhishek,Corporate,Clothing,Hankerchief,24,-1,2,9/6/2020,9/11/2020,Standard Class,COD,United States,Houston,Texas
CA-2020-158568,RB-19465,OFF-PA-10003256,Abhishek,Home Office,Electronics,Accessories,774,170,3,8/29/2020,9/2/2020,Standard Class,COD,United States,Los Angeles,California
CA-2020-158568,RB-19465,TEC-AC-10001767,Hrisheekesh,Home Office,Clothing,Hankerchief,93,-1,2,8/29/2020,9/2/2020,Standard Class,COD,United States,Los Angeles,California
CA-2020-158568,RB-19465,OFF-BI-10002609,Kartik,Home Office,Electronics,Electronic Games,765,-36,3,8/29/2020,9/2/2020,Second Class,COD,United States,Los Angeles,California
CA-2020-129903,GZ-14470,OFF-PA-10004040,Trupti,Consumer,Electronics,Printers,762,101,6,12/1/2020,12/4/2020,Second Class,COD,United States,Minneapolis,Minnesota
US-2019-156867,LC-16870,TEC-AC-10001552,Noopur,Consumer,Electronics,Electronic Games,761,266,9,11/13/2019,11/17/2019,Second Class,COD,United States,Minneapolis,Minnesota
US-2019-156867,LC-16870,FUR-FU-10004006,Parth,Consumer,Clothing,Leggings,96,-48,5,11/13/2019,11/17/2019,Standard Class,UPI,United States,Minneapolis,Minnesota
US-2019-156867,LC-16870,OFF-BI-10002794,Harsh,Consumer,Electronics,Printers,1137,-14,7,11/13/2019,11/17/2019,Second Class,EMI,United States,Portland,Oregon
CA-2021-119004,JM-15250,TEC-AC-10003499,Swapnil,Consumer,Clothing,Hankerchief,18,8,2,11/23/2021,11/28/2021,First Class,Debit Card,United States,New York City,New York
CA-2021-119004,JM-15250,TEC-PH-10002844,Soumyabrata,Consumer,Furniture,Furnishings,749,-307,7,11/23/2021,11/28/2021,Standard Class,COD,United States,San Francisco,California
CA-2021-119004,JM-15250,OFF-AR-10000390,Amruta,Consumer,Clothing,Saree,1120,199,6,11/23/2021,11/28/2021,Standard Class,EMI,United States,Saint Paul,Minnesota
CA-2019-129476,PA-19060,TEC-AC-10000844,Aishwarya,Home Office,Electronics,Printers,744,119,6,10/15/2019,10/20/2019,Standard Class,COD,United States,Chicago,Illinois
CA-2021-146780,CV-12805,FUR-FU-10001934,Pranav,Corporate,Clothing,Hankerchief,14,0,4,12/25/2021,12/30/2021,Standard Class,UPI,United States,Chicago,Illinois
CA-2020-128867,CL-12565,OFF-AR-10000380,Sahil,Consumer,Clothing,Hankerchief,19,8,2,11/3/2020,11/10/2020,Second Class,Debit Card,United States,Chicago,Illinois
CA-2020-128867,CL-12565,OFF-BI-10003981,Mitali,Consumer,Clothing,Saree,512,-225,5,11/3/2020,11/10/2020,Standard Class,COD,United States,Rochester,Minnesota
CA-2018-115259,RC-19960,OFF-FA-10000621,Hitika,Consumer,Furniture,Bookcases,742,198,2,8/25/2018,8/27/2018,Standard Class,COD,United States,Aurora,Colorado
CA-2018-115259,RC-19960,OFF-EN-10002600,Anurag,Consumer,Clothing,Stole,44,-40,3,8/25/2018,8/27/2018,Standard Class,COD,United States,Aurora,Colorado
CA-2018-115259,RC-19960,OFF-PA-10004965,Paromita,Consumer,Furniture,Bookcases,1061,-36,8,8/25/2018,8/27/2018,Standard Class,EMI,United States,Aurora,Colorado
CA-2018-115259,RC-19960,OFF-EN-10002504,Jitesh,Consumer,Clothing,Leggings,19,-2,2,8/25/2018,8/27/2018,Standard Class,Debit Card,United States,Charlotte,North Carolina
CA-2019-110457,DK-13090,FUR-TA-10001768,Pratyusmita,Consumer,Clothing,Hankerchief,17,0,1,3/2/2019,3/6/2019,Standard Class,COD,United States,Charlotte,North Carolina
US-2019-136476,GG-14650,OFF-BI-10003650,Atharv,Corporate,Furniture,Bookcases,741,267,5,4/5/2019,4/10/2019,Standard Class,COD,United States,Charlotte,North Carolina
CA-2020-103730,SC-20725,FUR-FU-10002157,Ajay,Consumer,Electronics,Printers,735,-235,6,6/12/2020,6/15/2020,Standard Class,COD,United States,Orland Park,Illinois
CA-2020-103730,SC-20725,OFF-BI-10003910,Diwakar,Consumer,Clothing,Shirt,19,-1,1,6/12/2020,6/15/2020,Standard Class,Debit Card,United States,New York City,New York
CA-2020-103730,SC-20725,OFF-ST-10000777,Rutuja,Consumer,Electronics,Electronic Games,1021,-48,4,6/12/2020,6/15/2020,Standard Class,EMI,United States,Urbandale,Iowa
CA-2020-103730,SC-20725,OFF-EN-10002500,Sanjova,Consumer,Clothing,Saree,556,-209,7,6/12/2020,6/15/2020,Second Class,COD,United States,Urbandale,Iowa
CA-2020-103730,SC-20725,TEC-PH-10003875,Shivanshu,Consumer,Clothing,Leggings,63,-17,6,6/12/2020,6/15/2020,Second Class,COD,United States,Columbus,Ohio
US-2018-152030,AD-10180,FUR-CH-10004063,Mhatre,Home Office,Furniture,Chairs,734,248,2,12/26/2018,12/28/2018,Second Class,COD,United States,Columbus,Ohio
US-2018-134614,PF-19165,FUR-TA-10004534,Mukesh,Consumer,Clothing,Saree,933,166,5,9/20/2018,9/25/2018,Second Class,Credit Card,United States,Columbus,Ohio
US-2021-107272,TS-21610,OFF-BI-10003274,Snel,Consumer,Clothing,Hankerchief,20,-9,6,11/5/2021,11/12/2021,Standard Class,Debit Card,United States,Columbus,Ohio
US-2021-107272,TS-21610,OFF-ST-10002974,Praneet,Consumer,Furniture,Bookcases,877,395,2,11/5/2021,11/12/2021,Standard Class,Credit Card,United States,Seattle,Washington
US-2020-125969,LS-16975,FUR-CH-10001146,Jesal,Home Office,Furniture,Chairs,719,303,6,11/6/2020,11/10/2020,First Class,COD,United States,Bristol,Tennessee
US-2020-125969,LS-16975,FUR-FU-10003773,Rhea,Home Office,Clothing,Hankerchief,12,1,2,11/6/2020,11/10/2020,First Class,COD,United States,Wilmington,Delaware
US-2021-164147,DW-13585,TEC-PH-10002293,Mrinal,Corporate,Clothing,Saree,714,56,4,2/2/2021,2/5/2021,First Class,COD,United States,Wilmington,Delaware
US-2021-164147,DW-13585,OFF-PA-10002377,Sharda,Corporate,Clothing,Leggings,50,-15,4,2/2/2021,2/5/2021,First Class,COD,United States,Wilmington,Delaware
US-2021-164147,DW-13585,OFF-FA-10002780,Shatayu,Corporate,Electronics,Phones,709,-100,5,2/2/2021,2/5/2021,First Class,COD,United States,Wilmington,Delaware
CA-2020-145583,LC-16885,OFF-PA-10001804,Rohan,Consumer,Clothing,Hankerchief,21,-12,3,10/13/2020,10/19/2020,Second Class,Debit Card,United States,Wilmington,Delaware
CA-2020-145583,LC-16885,OFF-PA-10001736,Mohan,Consumer,Clothing,Saree,693,254,6,10/13/2020,10/19/2020,Standard Class,COD,United States,Houston,Texas
CA-2020-145583,LC-16885,OFF-AR-10001149,Chikku,Consumer,Clothing,Hankerchief,24,1,4,10/13/2020,10/19/2020,Standard Class,COD,United States,Bloomington,Illinois
CA-2020-145583,LC-16885,OFF-FA-10002988,Akancha,Consumer,Clothing,Hankerchief,24,1,2,10/13/2020,10/19/2020,Standard Class,UPI,United States,Phoenix,Arizona
CA-2020-145583,LC-16885,OFF-BI-10004781,Amit,Consumer,Clothing,Hankerchief,24,1,2,10/13/2020,10/19/2020,Second Class,COD,United States,Phoenix,Arizona
CA-2020-145583,LC-16885,OFF-SU-10001218,Kishwar,Consumer,Clothing,T-shirt,21,10,1,10/13/2020,10/19/2020,Second Class,Debit Card,United States,Los Angeles,California
CA-2020-145583,LC-16885,FUR-FU-10001706,Mahima,Consumer,Furniture,Chairs,681,259,4,10/13/2020,10/19/2020,First Class,COD,United States,Los Angeles,California
CA-2020-110366,JD-15895,FUR-FU-10004848,Abhijeet,Corporate,Furniture,Tables,674,-187,2,9/5/2020,9/7/2020,First Class,COD,United States,Columbus,Ohio
CA-2021-106180,SH-19975,OFF-AR-10000940,Vrinda,Corporate,Electronics,Electronic Games,671,-309,5,9/18/2021,9/23/2021,First Class,COD,United States,Columbus,Ohio
CA-2021-106180,SH-19975,OFF-EN-10004030,Muskan,Corporate,Electronics,Electronic Games,646,-213,3,9/18/2021,9/23/2021,Standard Class,COD,United States,Columbus,Ohio
CA-2021-106180,SH-19975,OFF-PA-10004327,Shubham,Corporate,Clothing,Kurti,40,15,1,9/18/2021,9/23/2021,Standard Class,COD,United States,Roseville,California
CA-2021-155376,SG-20080,OFF-AP-10001058,Vini,Consumer,Clothing,T-shirt,24,-2,2,12/22/2021,12/27/2021,Standard Class,COD,United States,Roseville,California
CA-2019-110744,HA-14920,OFF-ST-10003656,Kartik,Consumer,Electronics,Printers,644,167,2,9/7/2019,9/12/2019,Standard Class,COD,United States,Roseville,California
CA-2018-110072,MG-17680,FUR-FU-10000521,Manisha,Home Office,Electronics,Printers,643,225,2,10/22/2018,10/28/2018,Standard Class,COD,United States,Roseville,California
CA-2020-114489,JE-16165,TEC-PH-10000215,Charika,Corporate,Clothing,Saree,632,-316,6,12/5/2020,12/9/2020,Standard Class,COD,United States,Roseville,California
CA-2020-114489,JE-16165,TEC-PH-10001448,Rohan,Corporate,Clothing,Saree,632,316,6,12/5/2020,12/9/2020,Standard Class,COD,United States,Roseville,California
CA-2020-114489,JE-16165,FUR-CH-10000454,Rohan,Corporate,Electronics,Printers,610,208,3,12/5/2020,12/9/2020,Second Class,COD,United States,Roseville,California
CA-2020-114489,JE-16165,OFF-BI-10002735,Ankur,Corporate,Clothing,Kurti,78,-28,6,12/5/2020,12/9/2020,Standard Class,UPI,United States,Philadelphia,Pennsylvania
CA-2020-158834,TW-21025,OFF-AP-10000326,Aniket,Home Office,Furniture,Bookcases,595,119,4,3/13/2020,3/16/2020,Standard Class,COD,United States,San Francisco,California
CA-2020-158834,TW-21025,TEC-PH-10001254,Nishi,Home Office,Clothing,Saree,595,292,3,3/13/2020,3/16/2020,Standard Class,COD,United States,San Francisco,California
CA-2019-124919,SP-20650,OFF-PA-10001950,Tanushree,Corporate,Furniture,Bookcases,852,51,5,5/31/2019,6/2/2019,Standard Class,Credit Card,United States,San Francisco,California
CA-2019-124919,SP-20650,OFF-PA-10002254,Aarushi,Corporate,Furniture,Bookcases,594,89,3,5/31/2019,6/2/2019,Standard Class,COD,United States,Independence,Missouri
CA-2019-124919,SP-20650,OFF-ST-10001590,Pinky,Corporate,Clothing,T-shirt,585,175,13,5/31/2019,6/2/2019,Standard Class,COD,United States,Pasadena,California
CA-2019-118948,NK-18490,OFF-AR-10001547,Yash,Home Office,Furniture,Furnishings,582,262,5,5/28/2019,6/3/2019,Standard Class,COD,United States,Newark,Ohio
CA-2018-104269,DB-13060,FUR-CH-10004063,Parna,Consumer,Clothing,Saree,845,84,7,3/1/2018,3/6/2018,Standard Class,Credit Card,United States,Franklin,Wisconsin
CA-2020-114104,NP-18670,OFF-LA-10002475,Sukrith,Consumer,Electronics,Printers,829,19,4,11/20/2020,11/24/2020,Standard Class,Credit Card,United States,Franklin,Wisconsin
CA-2020-114104,NP-18670,TEC-PH-10004536,Dhanraj,Consumer,Clothing,Saree,561,212,3,11/20/2020,11/24/2020,Standard Class,COD,United States,Franklin,Wisconsin
CA-2020-162733,TT-21070,OFF-PA-10002751,Megha,Consumer,Electronics,Phones,771,-424,2,5/11/2020,5/12/2020,First Class,Credit Card,United States,Franklin,Wisconsin
CA-2019-119697,EM-13960,TEC-AC-10003657,Piyali,Consumer,Clothing,Saree,765,8,6,12/28/2019,12/31/2019,First Class,EMI,United States,Scottsdale,Arizona
CA-2020-154508,RD-19900,OFF-EN-10001990,Anand,Consumer,Clothing,Hankerchief,31,2,2,11/16/2020,11/20/2020,First Class,COD,United States,Scottsdale,Arizona
CA-2020-113817,MJ-17740,OFF-BI-10004002,Ayush,Consumer,Electronics,Electronic Games,557,-111,2,11/7/2020,11/11/2020,First Class,COD,United States,San Jose,California
